"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Dos8_Eu";"25/09/2026 15:05:21";2700,9;1;46290628720,0116
"HMI<->PLC_Real{0}";"25/09/2026 15:05:21";1247;1;46290628720,0116
"Tlm_Bil21_Eu";"25/09/2026 15:05:22";1114,9;1;46290628731,6551
"Tlm_Dos8_Eu";"25/09/2026 15:05:22";2687,4;1;46290628731,6551
"HMI<->PLC_Real{0}";"25/09/2026 15:05:22";1247;1;46290628731,6551
"Tlm_Bil21_Eu";"25/09/2026 15:05:23";1129,1;1;46290628743,287
"Tlm_Dos8_Eu";"25/09/2026 15:05:23";2674,6;1;46290628743,287
"HMI<->PLC_Real{0}";"25/09/2026 15:05:23";1247;1;46290628743,287
"Tlm_Bil21_Eu";"25/09/2026 15:05:24";1146,7;1;46290628754,919
"Tlm_Dos8_Eu";"25/09/2026 15:05:24";2651,3;1;46290628754,919
"HMI<->PLC_Real{0}";"25/09/2026 15:05:24";1247;1;46290628754,919
"Tlm_Bil21_Eu";"25/09/2026 15:05:25";1160,9;1;46290628766,5278
"Tlm_Dos8_Eu";"25/09/2026 15:05:25";2635,5;1;46290628766,5278
"HMI<->PLC_Real{0}";"25/09/2026 15:05:25";1247;1;46290628766,5278
"Tlm_Bil21_Eu";"25/09/2026 15:05:26";1178,5;1;46290628778,1713
"Tlm_Dos8_Eu";"25/09/2026 15:05:26";2623,2;1;46290628778,1713
"HMI<->PLC_Real{0}";"25/09/2026 15:05:26";1247;1;46290628778,1713
"Tlm_Bil21_Eu";"25/09/2026 15:05:27";1192,8;1;46290628789,7801
"Tlm_Dos8_Eu";"25/09/2026 15:05:27";2608,3;1;46290628789,7801
"HMI<->PLC_Real{0}";"25/09/2026 15:05:27";1247;1;46290628789,7801
"Tlm_Bil21_Eu";"25/09/2026 15:05:28";1197,4;1;46290628801,4236
"Tlm_Dos8_Eu";"25/09/2026 15:05:28";2602;1;46290628801,4236
"HMI<->PLC_Real{0}";"25/09/2026 15:05:28";1247;1;46290628801,4236
"Tlm_Bil21_Eu";"25/09/2026 15:05:29";1204,8;1;46290628813,0556
"Tlm_Dos8_Eu";"25/09/2026 15:05:29";2593,6;1;46290628813,0556
"HMI<->PLC_Real{0}";"25/09/2026 15:05:29";1247;1;46290628813,0556
"Tlm_Bil21_Eu";"25/09/2026 15:05:30";1213,4;1;46290628824,6991
"Tlm_Dos8_Eu";"25/09/2026 15:05:30";2585,7;1;46290628824,6991
